UAV Trajectory Coordinates
Step	X(m)	Y(m)	Z(m)	Distance_from_prev
436	50.000	17.141	18.149	1.681
437	50.000	17.201	17.822	0.332
438	50.000	14.747	18.044	2.464
439	50.000	14.842	17.533	0.520
440	50.000	14.030	17.504	0.813
441	50.000	14.240	16.162	1.358
442	50.000	15.441	16.170	1.202
443	49.941	16.365	15.792	1.000
444	49.073	17.212	15.349	1.291
445	49.054	18.710	15.412	1.500
446	47.869	20.787	16.037	2.472
447	49.144	25.446	16.670	4.872
448	49.983	25.925	16.410	1.000
449	50.000	25.102	14.605	1.984
450	50.000	21.515	14.055	3.629
451	50.000	21.256	13.867	0.320
452	50.000	22.078	12.538	1.563
453	50.000	24.905	10.000	3.799
454	50.000	25.216	10.000	0.311
455	50.000	24.737	10.000	0.479
456	50.000	20.635	10.000	4.102
457	50.000	19.962	10.000	0.673
458	49.566	17.203	10.000	2.793
459	49.632	15.279	10.100	1.928
460	50.000	13.198	10.000	2.116
461	50.000	13.310	10.169	0.202
462	50.000	12.907	11.017	0.939
463	50.000	13.643	11.089	0.740
464	50.000	12.816	11.388	0.880
465	50.000	12.030	11.603	0.814
466	50.000	12.600	10.954	0.864
467	50.000	14.057	11.079	1.463
468	49.873	14.944	11.524	1.000
469	50.000	16.678	11.672	1.746
470	50.000	17.775	12.014	1.149
471	50.000	18.461	12.596	0.901
472	50.000	18.269	13.252	0.683
473	50.000	19.495	14.065	1.471
474	50.000	19.231	14.717	0.703
475	50.000	20.059	14.996	0.874
476	50.000	19.810	14.774	0.334
477	50.000	20.757	15.093	0.999
478	50.000	24.794	14.388	4.098
479	50.000	25.739	14.052	1.002
480	50.000	26.684	14.127	0.948
481	50.000	27.405	14.578	0.851
482	50.000	27.560	14.653	0.172
483	50.000	25.394	15.180	2.230
484	50.000	22.098	16.347	3.497
485	47.276	18.355	16.537	4.633
486	47.424	17.412	16.833	1.000
487	50.000	15.351	17.558	3.378
488	50.000	15.849	16.947	0.789
489	50.000	17.714	15.431	2.403
490	50.000	18.059	13.587	1.876
491	50.000	18.265	13.140	0.491
492	50.000	17.457	12.922	0.837
493	50.000	17.550	12.688	0.253
494	50.000	16.256	13.007	1.333
495	50.000	16.579	12.870	0.350
496	50.000	17.828	12.120	1.457
497	50.000	17.999	12.048	0.186
498	50.000	15.487	13.497	2.900
499	50.000	12.992	13.386	2.498
500	50.000	12.504	13.897	0.707
501	50.000	12.355	13.722	0.230
502	50.000	11.641	13.455	0.763
503	50.000	12.919	13.425	1.278
504	50.000	14.329	13.081	1.451
505	50.000	14.917	13.258	0.614
506	50.000	15.821	13.664	0.991
507	50.000	16.628	14.221	0.980
508	50.000	17.100	14.661	0.646
509	50.000	21.306	14.698	4.206
510	50.000	22.758	13.350	1.982
511	50.000	21.621	11.910	1.835
512	50.000	21.115	11.498	0.653
513	50.000	23.150	12.103	2.123
514	50.000	22.822	11.716	0.507
515	50.000	21.572	11.904	1.264
516	50.000	19.100	11.113	2.595
517	49.558	17.222	10.093	2.182
518	50.000	16.376	10.000	0.959
519	50.000	15.467	10.000	0.909
520	50.000	17.420	10.000	1.954
521	50.000	21.022	11.348	3.846
522	50.000	22.825	11.199	1.809
523	50.000	24.443	11.805	1.728
524	50.000	24.996	12.456	0.855
525	50.000	24.019	13.154	1.201
526	50.000	24.492	12.497	0.810
527	50.000	25.054	13.302	0.982
528	50.000	24.466	13.627	0.672
529	50.000	22.789	13.525	1.681
530	50.000	21.629	13.641	1.166
531	50.000	18.136	13.264	3.513
532	50.000	16.945	13.827	1.318
533	50.000	17.056	14.077	0.273
534	50.000	17.831	13.937	0.788
535	50.000	18.535	13.873	0.707
536	50.000	18.526	11.685	2.189
537	50.000	16.705	11.521	1.829
538	49.992	12.767	12.865	4.161
539	50.000	10.482	12.864	2.284
540	50.000	10.478	12.421	0.443
541	50.000	11.771	12.781	1.343
542	50.000	13.763	12.308	2.047
543	50.000	14.685	10.722	1.835
544	50.000	15.146	10.071	0.798
545	50.000	15.001	10.000	0.162
546	50.000	15.692	10.231	0.729
